"key"	"en"	"fr"
"key_move_jump"	"Jump"	"Saut"
"key_context_action"	"Action"	"Action"
"label_language"	"Language"	"Langue"
"label_crosshair"	"Crosshair"	"Réticule"
"label_fullscreen"	"Fullscreen"	"Plein écran"
"label_screen_ratio"	"Screen ratio"	"Ratio d'écran"
"label_screen_resolution"	"Screen resolution"	"Résolution d'écran"
"label_fov"	"Camera Field Of View"	"FoV de la caméra"
"label_gamma"	"Gamma"	"Gamma"
"label_vsync"	"VSync"	"VSync"
"sub_panel_settings_video"	"Video"	"Vidéo"
"sub_panel_settings_volume"	"Volumes"	"Volumes"
"sub_panel_settings_mouse_keyboard"	"Mouse / Keyboard"	"Souris / Clavier"
"button_back"	"Back"	"Retour"
"true"	"Yes"	"Oui"
"false"	"No"	"Non"
"label_mouse_sensitivity"	"Sensitivity"	"Sensibilité"
"label_invert_y"	"Invert Y axis"	"Inverser l'axe Y"
"screen_settings"	"Screen"	"Écran"
"game_settings"	"Game"	"Jeu"
"fr"	"Français"	"Français"
"en"	"English"	"English"
"label_bus_master"	"Master"	"Général"
"label_bus_music"	"Musics"	"Musiques"
"label_bus_sfx"	"Effects"	"Effets"
"move_forward"	"Move forward"	"Avant"
"move_backward"	"Move back"	"Arrière"
"move_left"	"Straf right"	"Pas à GAUCHE"
"move_right"	"Straf left"	"Pas à DROITE"
"move_jump"	"Jump"	"Sauter"
"context_action"	"Use"	"Utiliser"
"arrow_up"	"UP"	"HAUT"
"arrow_down"	"DOWN"	"BAS"
"arrow_left"	"LEFT"	"GAUCHE"
"arrow_right"	"RIGHT"	"DROITE"
"mouse_click_left"	"L Click"	"Clique G"
"label_keyboard_mapping"	"Keyboard Mapping"	"Disposition du clavier"
"Space"	"SPACE"	"ESPACE"
"press_action_to_start"	"Press ""Use"" to start"	"""Utiliser"" pour démarrer"
"grocery_list"	"Grocery list"	"Liste de course"
"can_of_soup"	"Can of soup"	"Soupe en boîte"
"box_of_cereal"	"Cereal"	"Céréal"
"meat"	"Meat"	"Viande"
"soda_01"	"Soda"	"Soda"
"soda_02"	"Soda"	"Soda"
"toilet_paper"	"Toilet paper"	"PQ"
"coffee"	"Coffee"	"Café"
"snacks_01"	"Snacks"	"Snacks"
"snacks_02"	"Snacks"	"Snacks"
"instant_noodle"	"Instant Noodle"	"Nouilles"
"fruits"	"Fruits"	"Fruits"
"vegetables"	"Vegetables"	"Légumes"
"sugar"	"Sugar"	"Sucre"
"thanks_for_playing"	"This is the end.\nThanks for playing\nthis game."	"C'est la fin.\nMerci d'avoir joué\nà ce jeu"
"lvl_title_0"	"day 1"	"jour 1"
"lvl_title_1"	"day 10"	"jour 10"
"lvl_title_2"	"day 42"	"jour 42"
"lvl_title_3"	"day 60"	"jour 60"
"lvl_title_4"	"day 200"	"jour 200"
"lvl_title_5"	"some day"	"un jour"
"lvl_quote_0"	"If you live for having it all, what you have is never enough."	"Si votre but est de tout avoir, vous n'obtiendrez jamais assez"
"lvl_quote_1"	"We used to be citizens\nNow we are consumers"	"Autrefois, nous étions des citoyens\nAujourd'hui, nous sommes des consommateurs"
"lvl_quote_2"	"We always want more"	"Nous voulons toujours plus"
"lvl_quote_3"	"Earth provides enough to satisfy every man's needs, but not every man's greed"	"La Terre est suffisante pour les besoins de l'hommes, mais pas assez pour sa cupidité"
"lvl_quote_4"	"We no longer live life. We consume it"	"Nous ne vivons plus notre vie, nous la consommons"
"lvl_quote_5"	"The hardest thing is to take less when you can get more"	"Le plus dur, c'est de prendre moins lorsqu'on peut prendre plus"
